ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000166224.12	0.4018|0.15620	NaN|0.00000	-0.6377|0.00000	NaN|0.00000	-0.6124|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000102897.5	NaN|0.00000	0.4018|0.15620	NaN|0.00000	NaN|0.00000	-0.2786|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000092850.7	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000010295.15	-0.3275|0.00000	NaN|0.88773	0.9544|0.95070	NaN|0.00000	1.1614|8.82646	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000253766.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000225193.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000260630.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	1.3560|5.51549	1.8661|49.38757
ENSG00000234268.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000147533.12	NaN|0.33754	2.4018|4.33191	NaN|0.00000	NaN|0.00000	-0.9905|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000254681.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.8449|5.92482	3.3007|51.69225
ENSG00000106246.13	0.0970|0.00219	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.2690|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000203711.7	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000168175.10	-0.8206|0.00000	NaN|0.00000	-1.6856|0.00000	NaN|0.00000	-1.1831|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000206633.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-5.4234|0.00000	NaN|0.00000
ENSG00000177173.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000117868.11	-1.6612|0.00000	NaN|0.00000	-1.1831|0.00000	NaN|0.00000	0.2307|1.45123	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000174332.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-1.3206|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000229917.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000042832.7	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000177418.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.45151	NaN|0.00000
ENSG00000159733.9	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.4734|1.23988	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000125409.8	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000220785.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	2.7130|8.69912	1.6913|2.77898
ENSG00000117425.9	NaN|0.33754	NaN|0.00000	-4.9682|0.00000	NaN|0.00000	0.0185|0.04014	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000034063.9	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.1589|0.00000
ENSG00000140575.8	-0.8993|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.6686|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000254673.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-1.5150|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000272927.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000250948.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000263818.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000106992.13	1.0799|0.63528	NaN|0.00000	NaN|0.00000	NaN|0.00000	1.3144|2.88686	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000167074.10	NaN|0.00000	NaN|0.00000	0.4018|0.24350	NaN|0.00000	-0.0677|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000143479.11	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.20204	NaN|0.00000
ENSG00000261014.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000223861.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000119514.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000108510.5	-1.5289|0.00000	NaN|0.12854	-1.5616|0.00000	NaN|0.00000	-1.7920|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000232527.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.4287|2.85140
ENSG00000206052.6	-0.3351|0.00000	NaN|0.45151	-0.9607|0.00000	NaN|0.00000	-1.3699|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000261118.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.0132|0.00000
ENSG00000085832.12	-1.7136|0.00000	2.9868|2.98306	NaN|0.00000	NaN|0.00000	-0.9774|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000237152.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.6709|0.00000
ENSG00000269711.1	NaN|0.00000	NaN|0.00000	NaN|1.62023	NaN|0.00000	3.5173|18.01383	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000251569.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-1.0411|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000100519.7	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.9537|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000121690.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.8836|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000236758.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000080371.4	NaN|0.00000	1.4018|0.88505	-1.5982|0.00000	NaN|0.00000	-1.4661|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000185860.9	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000270937.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.20204	NaN|0.00000
ENSG00000117010.11	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.5051|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000182158.10	-0.3660|0.00000	-1.6856|0.00000	-1.6299|0.00000	NaN|0.00000	-0.5540|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000151320.6	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-1.1831|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000228434.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-1.1831|0.00000	NaN|0.00000
ENSG00000171444.13	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-1.0658|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000081842.13	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000226690.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000149781.8	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	1.6133|4.99349	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000039560.9	NaN|0.00000	NaN|0.00000	NaN|0.20204	NaN|0.00000	-0.6987|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000251629.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000101745.11	-2.2338|0.00000	-0.7237|0.00000	NaN|0.00000	NaN|0.00000	-1.0653|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000162032.11	1.0393|1.31614	NaN|0.00000	2.6242|3.16630	NaN|0.00000	1.2875|5.35419	NaN|0.00000	NaN|0.00000	NaN|0.00000
