ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000247137.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.7326
ENSG00000180938.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000159147.13	NaN	NaN	NaN	NaN	0.2674	NaN	NaN	NaN
ENSG00000105497.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000201201.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000174885.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000178201.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000248544.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000186272.8	NaN	NaN	NaN	NaN	1.5223	NaN	NaN	NaN
ENSG00000005206.12	NaN	NaN	NaN	NaN	NaN	NaN	0.9652	2.2019
ENSG00000253746.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000182586.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000242049.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000143248.8	NaN	NaN	NaN	NaN	-2.1476	NaN	NaN	-0.4168
ENSG00000079387.9	NaN	NaN	NaN	NaN	-0.1476	NaN	NaN	NaN
ENSG00000234807.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000221273.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000063176.11	2.3930	5.8373	0.6179	NaN	2.3760	NaN	NaN	NaN
ENSG00000154342.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000197176.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000166333.9	-0.7326	NaN	NaN	NaN	-0.7326	NaN	NaN	NaN
ENSG00000124444.11	NaN	NaN	-3.8480	NaN	NaN	NaN	NaN	NaN
ENSG00000163141.14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000235859.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000237276.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000114779.15	0.6598	NaN	1.1934	NaN	-0.0564	NaN	NaN	NaN
ENSG00000156398.8	NaN	NaN	-1.8106	NaN	0.6755	NaN	NaN	NaN
ENSG00000143127.8	NaN	NaN	NaN	NaN	1.4374	NaN	NaN	NaN
ENSG00000197798.4	NaN	NaN	NaN	NaN	-1.0366	NaN	NaN	NaN
ENSG00000226397.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000242973.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000173914.7	NaN	NaN	NaN	NaN	-0.6501	NaN	NaN	NaN
ENSG00000270136.1	NaN	NaN	NaN	NaN	-0.9651	NaN	NaN	NaN
ENSG00000259039.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000160688.14	-0.5950	NaN	NaN	NaN	0.5198	NaN	NaN	NaN
ENSG00000236882.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000172530.15	-1.0407	NaN	NaN	NaN	1.2510	NaN	NaN	NaN
ENSG00000167037.14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
