ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000232554.4	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000102871.11	1.0748|0.74292	NaN|0.01610	NaN|0.20276	NaN|0.00000	0.6531|1.25834	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000249476.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.7326|0.00000
ENSG00000227175.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000243927.1	NaN|0.00000	NaN|0.00000	NaN|0.42221	NaN|0.00000	0.5709|6.10226	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000146039.6	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000119950.16	NaN|0.00000	3.2584|8.15194	NaN|0.42221	NaN|0.00000	1.3576|15.05515	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000268931.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000266628.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000123545.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.4371|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000186132.10	NaN|0.00000	NaN|0.42221	NaN|0.00000	NaN|0.00000	-0.7326|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000269834.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000256340.4	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-1.1476|0.00000	-0.7850|0.00000
